query-id	corpus-id	score
nevir_q_1-2_2	nevir_doc_1-2_2	1
nevir_q_1-3_1	nevir_doc_1-3_1	1
nevir_q_1-3_2	nevir_doc_1-3_2	1
nevir_q_10-2_1	nevir_doc_10-2_1	1
nevir_q_10-2_2	nevir_doc_10-2_2	1
nevir_q_10-3_1	nevir_doc_10-3_1	1
nevir_q_100-2_2	nevir_doc_100-2_2	1
nevir_q_100-3_2	nevir_doc_100-3_2	1
nevir_q_101-2_1	nevir_doc_101-2_1	1
nevir_q_101-2_2	nevir_doc_101-2_2	1
nevir_q_101-3_1	nevir_doc_101-3_1	1
nevir_q_102-2_1	nevir_doc_102-2_1	1
nevir_q_102-2_2	nevir_doc_102-2_2	1
nevir_q_102-3_2	nevir_doc_102-3_2	1
nevir_q_1024-2_2	nevir_doc_1024-2_2	1
nevir_q_1024-3_2	nevir_doc_1024-3_2	1
nevir_q_103-2_1	nevir_doc_103-2_1	1
nevir_q_103-2_2	nevir_doc_103-2_2	1
nevir_q_103-3_1	nevir_doc_103-3_1	1
nevir_q_103-3_2	nevir_doc_103-3_2	1
nevir_q_104-2_1	nevir_doc_104-2_1	1
nevir_q_104-2_2	nevir_doc_104-2_2	1
nevir_q_104-3_2	nevir_doc_104-3_2	1
nevir_q_105-2_2	nevir_doc_105-2_2	1
nevir_q_105-3_1	nevir_doc_105-3_1	1
nevir_q_106-2_2	nevir_doc_106-2_2	1
nevir_q_106-3_1	nevir_doc_106-3_1	1
nevir_q_106-3_2	nevir_doc_106-3_2	1
nevir_q_107-2_1	nevir_doc_107-2_1	1
nevir_q_107-2_2	nevir_doc_107-2_2	1
nevir_q_108-2_1	nevir_doc_108-2_1	1
nevir_q_108-2_2	nevir_doc_108-2_2	1
nevir_q_108-3_1	nevir_doc_108-3_1	1
nevir_q_109-2_1	nevir_doc_109-2_1	1
nevir_q_109-3_1	nevir_doc_109-3_1	1
nevir_q_11-2_2	nevir_doc_11-2_2	1
nevir_q_11-3_1	nevir_doc_11-3_1	1
